case,caseDir,time,Ucrit_mps,deadFraction,nPorousCells,source
A001_T_N2_Q10,cases/A001_T_N2_Q10,2.92,1e-05,0.8249939393939394,1980000,orig
A002_T_N2_Q25,cases/A002_T_N2_Q25,3.17,1e-05,0.8492914141414142,1980000,orig
A003_T_N2_Q50,cases/A003_T_N2_Q50,3.28,1e-05,0.8406944444444444,1980000,orig
A004_T_N2_Q150,cases/A004_T_N2_Q150,3.32,1e-05,0.6102969696969697,1980000,orig
A005_T_N6_Q10,cases/A005_T_N6_Q10,2.75,1e-05,0.838099494949495,1980000,orig
A006_T_N6_Q25,cases/A006_T_N6_Q25,2.87,1e-05,0.8710868686868687,1980000,orig
A007_T_N6_Q50,cases/A007_T_N6_Q50,3.11,1e-05,0.8587156565656565,1980000,orig
A008_T_N6_Q150,cases/A008_T_N6_Q150,3.15,1e-05,0.6267702020202021,1980000,orig
A009_T_N10_Q10,cases/A009_T_N10_Q10,2.72,1e-05,0.8347717171717172,1980000,orig
A010_T_N10_Q25,cases/A010_T_N10_Q25,2.76,1e-05,0.8886782828282829,1980000,orig
A011_T_N10_Q50,cases/A011_T_N10_Q50,3.04,1e-05,0.8912752525252525,1980000,orig
A012_T_N10_Q150,cases/A012_T_N10_Q150,3.1,1e-05,0.6577136363636363,1980000,orig
A013_T_N16_Q10,cases/A013_T_N16_Q10,2.76,1e-05,0.8291757575757576,1980000,orig
A014_T_N16_Q25,cases/A014_T_N16_Q25,2.73,1e-05,0.9023762626262626,1980000,orig
A015_T_N16_Q50,cases/A015_T_N16_Q50,2.86,1e-05,0.9241818181818182,1980000,orig
A016_T_N16_Q150,cases/A016_T_N16_Q150,3.03,1e-05,0.6779611111111111,1980000,orig
A017_T_N30_Q10,cases/A017_T_N30_Q10,2.76,1e-05,0.8174535353535354,1980000,orig
A018_T_N30_Q25,cases/A018_T_N30_Q25,2.75,1e-05,0.8920035353535354,1980000,orig
A019_T_N30_Q50,cases/A019_T_N30_Q50,2.76,1e-05,0.9442994949494949,1980000,orig
A020_T_N30_Q150,cases/A020_T_N30_Q150,11,1e-05,0.7991025252525252,1980000,orig
A021_T_N50_Q10,cases/A021_T_N50_Q10,2.8,1e-05,0.8432727272727273,1980000,orig
A022_T_N50_Q25,cases/A022_T_N50_Q25,2.73,1e-05,0.9178414141414142,1980000,orig
A023_T_N50_Q50,cases/A023_T_N50_Q50,2.69,1e-05,0.9585540404040404,1980000,orig
A024_T_N50_Q150,cases/A024_T_N50_Q150,2.97,1e-05,0.7654560606060606,1980000,orig
A025_S_N2_Q10,cases/A025_S_N2_Q10,2.85,1e-05,0.7529828282828283,1980000,orig
A026_S_N2_Q25,cases/A026_S_N2_Q25,2.83,1e-05,0.749800505050505,1980000,orig
A027_S_N2_Q50,cases/A027_S_N2_Q50,2.79,1e-05,0.7427651515151515,1980000,orig
A028_S_N2_Q150,cases/A028_S_N2_Q150,2.72,1e-05,0.7191782828282828,1980000,orig
A029_S_N6_Q10,cases/A029_S_N6_Q10,8.5,1e-05,0.7533136363636364,1980000,orig
A030_S_N6_Q25,cases/A030_S_N6_Q25,2.83,1e-05,0.7506833333333334,1980000,orig
A031_S_N6_Q50,cases/A031_S_N6_Q50,2.85,1e-05,0.7464020202020202,1980000,orig
A032_S_N6_Q150,cases/A032_S_N6_Q150,2.77,1e-05,0.7270409090909091,1980000,orig
A033_S_N10_Q10,cases/A033_S_N10_Q10,2.76,1e-05,0.7534121212121212,1980000,orig
A034_S_N10_Q25,cases/A034_S_N10_Q25,2.94,1e-05,0.7509580808080808,1980000,orig
A035_S_N10_Q50,cases/A035_S_N10_Q50,2.79,1e-05,0.7469217171717172,1980000,orig
A036_S_N10_Q150,cases/A036_S_N10_Q150,2.8,1e-05,0.7295444444444444,1980000,orig
A037_S_N16_Q10,cases/A037_S_N16_Q10,9,1e-05,0.7537919191919192,1980000,orig
A038_S_N16_Q25,cases/A038_S_N16_Q25,10,1e-05,0.7509191919191919,1980000,orig
A039_S_N16_Q50,cases/A039_S_N16_Q50,8,1e-05,0.7468888888888889,1980000,orig
A040_S_N16_Q150,cases/A040_S_N16_Q150,7,1e-05,0.7294181818181819,1980000,orig
A041_S_N30_Q10,cases/A041_S_N30_Q10,9.5,1e-05,0.7542409090909091,1980000,orig
A042_S_N30_Q25,cases/A042_S_N30_Q25,2.76,1e-05,0.7516131313131313,1980000,orig
A043_S_N30_Q50,cases/A043_S_N30_Q50,8.5,1e-05,0.74695,1980000,orig
A044_S_N30_Q150,cases/A044_S_N30_Q150,7.5,1e-05,0.7271191919191919,1980000,orig
