runID,block,placement,N,Qtot_uLmin,pipeHeight_mm,D,weightMode,cosA,cosPhase
A001,A,T,2,10,8.0,1880000000.0,cosine,0.6,0.0
A002,A,T,2,25,8.0,1880000000.0,cosine,0.6,0.0
A003,A,T,2,50,8.0,1880000000.0,cosine,0.6,0.0
A004,A,T,2,150,8.0,1880000000.0,cosine,0.6,0.0
A005,A,T,6,10,8.0,1880000000.0,cosine,0.6,0.0
A006,A,T,6,25,8.0,1880000000.0,cosine,0.6,0.0
A007,A,T,6,50,8.0,1880000000.0,cosine,0.6,0.0
A008,A,T,6,150,8.0,1880000000.0,cosine,0.6,0.0
A009,A,T,10,10,8.0,1880000000.0,cosine,0.6,0.0
A010,A,T,10,25,8.0,1880000000.0,cosine,0.6,0.0
A011,A,T,10,50,8.0,1880000000.0,cosine,0.6,0.0
A012,A,T,10,150,8.0,1880000000.0,cosine,0.6,0.0
A013,A,T,16,10,8.0,1880000000.0,cosine,0.6,0.0
A014,A,T,16,25,8.0,1880000000.0,cosine,0.6,0.0
A015,A,T,16,50,8.0,1880000000.0,cosine,0.6,0.0
A016,A,T,16,150,8.0,1880000000.0,cosine,0.6,0.0
A017,A,T,30,10,8.0,1880000000.0,cosine,0.6,0.0
A018,A,T,30,25,8.0,1880000000.0,cosine,0.6,0.0
A019,A,T,30,50,8.0,1880000000.0,cosine,0.6,0.0
A020,A,T,30,150,8.0,1880000000.0,cosine,0.6,0.0
A021,A,T,50,10,8.0,1880000000.0,cosine,0.6,0.0
A022,A,T,50,25,8.0,1880000000.0,cosine,0.6,0.0
A023,A,T,50,50,8.0,1880000000.0,cosine,0.6,0.0
A024,A,T,50,150,8.0,1880000000.0,cosine,0.6,0.0
A025,A,S,2,10,8.0,1880000000.0,cosine,0.6,0.0
A026,A,S,2,25,8.0,1880000000.0,cosine,0.6,0.0
A027,A,S,2,50,8.0,1880000000.0,cosine,0.6,0.0
A028,A,S,2,150,8.0,1880000000.0,cosine,0.6,0.0
A029,A,S,6,10,8.0,1880000000.0,cosine,0.6,0.0
A030,A,S,6,25,8.0,1880000000.0,cosine,0.6,0.0
A031,A,S,6,50,8.0,1880000000.0,cosine,0.6,0.0
